,Index Number,Name,Address,Project Status,Occupancy Year,Operator,Clientele - Families,Clientele - Seniors,Clientele - Other,Design - Accessible 1BR,Design - Accessible 2BR,Design - Accessible 3BR,Design - Accessible 4BR,Design - Accessible Studio,Design - Accessible Room,Design - Adaptable 1BR,Design - Adaptable 2BR,Design - Adaptable 3BR,Design - Adaptable 4BR,Design - Standard 1BR,Design - Standard 2BR,Design - Standard 3BR,Design - Standard 4BR,Design - Standard Studio,Design - Standard Room,URL,Geom,Local Area,Adaptable,Accessible,Standard
337,424,Mole Hill - Phase II,1154 Comox St,Completed,2003,Mole Hill Community Housing Society,6,0,3,0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=424,POINT (-123.13068653 49.2824566),West End,0,0,9
338,425,Mole Hill - Phase II,1160 Comox St,Completed,2003,Mole Hill Community Housing Society,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=425,POINT (-123.1307847 49.2825202),West End,0,0,5
339,426,Mole Hill - Phase II,1164 Comox St,Completed,2002,Mole Hill Community Housing Society,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=426,POINT (-123.13093281 49.28261614),West End,0,0,1
340,427,Mole Hill - Phase II,1170 Comox St,Completed,2003,Mole Hill Community Housing Society,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=427,POINT (-123.13108016 49.2827116),West End,0,0,3
341,434,Mole Hill - Phase II,1157 Pendrell St,Completed,2003,Mole Hill Community Housing Society,1,0,8,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=434,POINT (-123.1311698 49.28213766),West End,0,0,9
342,440,Mole Hill - Phase II,1119 Thurlow St,Completed,2003,Mole Hill Community Housing Society,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=440,POINT (-123.13018469 49.28131028),West End,0,0,7
343,478,Semlin Terrace,200 Semlin Dr,Completed,1977,Metro Vancouver Housing Corporation,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=478,POINT (-123.06336388 49.2827525),Grandview-Woodland,0,0,12
344,483,Woodwards - singles,131 W Hastings St,Completed,2010,PHS Community Services Society,0,0,125,0,0,0,0,5,0,0,0,0,0,0,0,0,0,120,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=483,POINT (-123.10776232 49.28276526),Downtown,0,5,120
345,485,Central Residence,42 E Cordova St,Completed,2003,City of Vancouver,0,65,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=485,POINT (-123.10326481 49.28208473),Downtown,0,5,60
346,492,Access Co-op North,2864 E 5th Ave,Completed,1983,Access Co-op Housing Association,7,0,8,4,4,0,0,0,0,0,0,0,0,3,3,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=492,POINT (-123.04557776 49.26540171),Hastings-Sunrise,0,8,7
347,493,Granville Residence,1261 Granville St,Completed,2005,City of Vancouver,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=493,POINT (-123.12746742 49.27669007),Downtown,0,0,83
348,503,The Beechwood,3355 E 4th Avenue,Completed,2006,Hopehill,0,61,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,13,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=503,POINT (-123.03143236 49.26621509),Hastings-Sunrise,0,0,61
349,530,Southview Heights,3131 E 58th Ave,Completed,2007,Salvation Army,0,57,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=530,POINT (-123.04055272 49.21773661),Killarney,0,0,57
350,533,Marin Vista,8475 Duff St,Completed,1985,Affordable Housing Societies,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=533,POINT (-123.06481634 49.20776282),Victoria-Fraserview,0,0,19
351,597,Sanford Apartments,1601 W 7th Av,Completed,2012,Sanford Housing Society,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=597,POINT (-123.14131128 49.26563829),Fairview,0,0,62
352,634,Aboriginal Children's Village,2980 Nanaimo,Completed,2012,Lu'Ma Native Housing Society,18,0,6,0,0,0,0,0,0,0,0,0,0,3,5,12,1,3,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=634,POINT (-123.05614045 49.25719768),Renfrew-Collingwood,0,0,24
353,647,Olympic Village - Parcel 9,80 Walter Hardwick Ave.,Completed,2010,S.U.C.C.E.S.S.,6,35,26,4,0,0,0,0,0,57,6,0,0,0,0,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=647,POINT (-123.1057161 49.27075307),Mount Pleasant,63,4,0
354,648,Olympic Village - Parcel 5,122 Walter Hardwick Ave.,Completed,2010,S.U.C.C.E.S.S.,42,20,39,5,0,0,0,0,0,54,12,16,14,0,0,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=648,POINT (-123.10760298 49.27078693),Mount Pleasant,96,5,0
355,649,Athletes Village Co-op,151 W. 1st Ave.,Completed,2010,Co-operative Housing Federation of BC,77,0,7,4,0,0,0,0,0,0,0,0,0,3,60,17,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=649,POINT (-123.10861889 49.27064319),Mount Pleasant,0,4,80
356,668,The Rice Block,404 Hawks Ave,Completed,2007,Atira Women’s Resource Society,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=668,POINT (-123.08690641 49.28086915),Strathcona,0,0,38
357,692,Dany Guincher House,1436 West 71st Avenue,Completed,2008,Tikva Housing Society,0,0,11,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=692,POINT (-123.13817325 49.20677619),Marpole,0,0,11
358,705,Linden Tree Place,2304 W 8th Av,Completed,2012,Kitsilano Neighbourhood House,0,35,10,8,2,0,0,0,0,0,0,0,0,33,1,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=705,POINT (-123.15800935 49.26456261),Kitsilano,0,10,35
359,708,Coast Project Commercial Dr,618 Commercial Dr,Completed,2010,Coast Mental Health,0,0,18,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=708,POINT (-123.0701159 49.27910862),Grandview-Woodland,0,0,18
360,710,Heritage Co-op Addition,728 W 8th Ave,Completed,2012,Heritage Co-op Housing Association,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=710,POINT (-123.12046637 49.2639696),Fairview,0,0,5
361,716,Red Oak Place,2325 W 7th Ave,Completed,2014,Kitsilano Neighbourhood House,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=716,POINT (-123.15806282 49.26590631),Kitsilano,0,15,0
362,723,Kingsway Continental,3484 Kingsway,Completed,2014,City of Vancouver,0,123,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,55,66,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=723,POINT (-123.03124616 49.23140021),Killarney,0,2,121
363,726,May Wah Hotel,256 E Pender St,Completed,2017,PHS Community Services Society,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=726,POINT (-123.0981439 49.28009111),Strathcona,0,0,120
364,727,SUCCESS Pender Residence,333 E Pender St,Completed,2021,S.U.C.C.E.S.S.,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=727,POINT (-123.09633964 49.28058017),Strathcona,0,0,62
365,760,Cordovan,557 E Cordova St,Completed,2015,MPA Society,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=760,POINT (-123.09214537 49.28239934),Strathcona,0,0,5
366,775,Brice Apartments,1720 Kingsway,Completed,2017,Sanford Housing Society,0,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=775,POINT (-123.06946375 49.24684661),Kensington-Cedar Cottage,0,0,48
367,786,41 E Hastings,41 E Hastings St,Completed,2018,Atira Women’s Resource Society,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=786,POINT (-123.10334078 49.28172425),Downtown,0,0,120
368,791,Vancouver Masonic Centre,1495 W 8th Ave,Completed,2021,Vancouver Masonic Centre,39,0,111,0,3,0,0,5,0,0,0,0,0,41,34,2,0,65,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=791,POINT (-123.13751409 49.26497349),Fairview,0,8,142
369,792,946-950 Main St,946 - 950 Main St,Completed,2021,Lu'Ma Native Housing Society,0,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,22,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=792,POINT (-123.09948504 49.27598238),Strathcona,0,0,26
370,798,Hannelore,5688 Ash St,Completed,2019,Oakridge Lutheran Church Housing Society,16,0,30,0,0,0,0,0,0,0,0,0,0,15,16,0,0,15,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=798,POINT (-123.11760049 49.23385582),South Cambie,0,0,46
371,800,Pearson Dogwood - Phase 5,500-650 W 57th Ave,Approved,,Unknown,90,0,90,0,0,0,0,0,0,0,0,0,0,45,54,36,0,45,0,,POINT (-123.11780837 49.21835764),Marpole,0,0,180
372,802,Roddan Lodge,124 Dunlevy Ave,Completed,2021,City of Vancouver,19,0,194,0,0,0,0,10,0,0,0,0,0,19,19,0,0,165,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=802,POINT (-123.0948261 49.28373962),Strathcona,0,10,203
373,811,Ch’ich’iyúy,401 Jackson Ave,Under Construction,,Aboriginal Land Trust Society,27,0,145,0,0,0,0,0,0,0,0,0,0,37,27,0,0,108,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=811,,Other,0,0,172
374,814,177 W Pender,177 W Pender St,Under Construction,,Community Land Trust Foundation of BC,7,0,69,0,0,0,0,4,0,0,0,0,0,2,6,1,0,63,0,,POINT (-123.10920892 49.28166995),Downtown,0,4,72
